model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
harmonic,0.75,2,0,-0.11020980461340597,-0.5188669838193388,-0.40865717920593286,0.40865717920593286,0.0008666448553009242,3.9968028886505635e-15,0.4095238240612378,False,False
harmonic,0.75,2,1,-0.10836355506061482,-0.4445140908152331,-0.3361505357546183,0.3361505357546183,0.0008666448553009242,3.9968028886505635e-15,0.3370171806099232,False,False
harmonic,0.75,2,2,-0.22800507485953952,-0.8596897478535483,-0.6316846729940089,0.6316846729940089,0.0008666448553009242,3.9968028886505635e-15,0.6325513178493138,False,False
harmonic,1.0,0,0,-0.22511923014159976,-0.9065951294958478,-0.681475899354248,0.681475899354248,0.0008679433251918246,3.9968028886505635e-15,0.6823438426794438,False,False
harmonic,1.0,0,1,-0.09154733160060002,-0.5178350639126249,-0.4262877323120249,0.4262877323120249,0.0008679433251918246,3.9968028886505635e-15,0.4271556756372207,False,False
harmonic,1.0,0,2,-0.11384658411236621,-0.5548142927947072,-0.440967708682341,0.440967708682341,0.0008679433251918246,3.9968028886505635e-15,0.44183565200753677,False,False
harmonic,1.0,1,0,-0.09154733160060007,-0.5178350639126246,-0.4262877323120245,0.4262877323120245,0.0008679433251918246,3.9968028886505635e-15,0.4271556756372203,False,False
harmonic,1.0,1,1,-0.26197116748737653,-0.9211679067177378,-0.6591967392303613,0.6591967392303613,0.0008679433251918246,3.9968028886505635e-15,0.6600646825555571,False,False
harmonic,1.0,1,2,-0.11857209400074845,-0.473293303765132,-0.3547212097643836,0.3547212097643836,0.0008679433251918246,3.9968028886505635e-15,0.3555891530895794,False,False
harmonic,1.0,2,0,-0.11384658411236626,-0.5548142927947071,-0.4409677086823408,0.4409677086823408,0.0008679433251918246,3.9968028886505635e-15,0.4418356520075366,False,False
harmonic,1.0,2,1,-0.11857209400074861,-0.47329330376513246,-0.3547212097643838,0.3547212097643838,0.0008679433251918246,3.9968028886505635e-15,0.3555891530895796,False,False
